price,mileage,tax,mpg,engineSize,car_age,model_freq,brand_BMW,brand_Mercedes,brand_VW,transmission_Manual,transmission_Semi-Auto,fuelType_Hybrid,fuelType_Other,fuelType_Petrol
23990.0,3000,145,49.6,1.6,6,442,False,False,False,True,False,False,False,False
13650.0,37314,145,55.4,2.0,10,457,False,False,False,True,False,False,False,False
33699.0,1000,145,44.1,2.0,6,1966,False,True,False,False,False,False,False,True
26000.0,4396,150,44.8,2.0,6,734,False,False,False,False,False,False,False,False
11450.0,16500,20,60.1,1.2,8,1701,False,False,True,True,False,False,False,True
23950.0,9301,145,50.4,2.0,6,123,False,False,True,False,True,False,False,False
15050.0,26973,125,60.1,2.0,11,534,True,False,False,False,True,False,False,False
16505.0,32895,125,51.4,1.4,8,750,False,False,False,True,False,False,False,True
25750.0,6983,145,60.1,2.1,7,1966,False,True,False,False,True,False,False,False
14998.0,32125,125,57.6,2.0,10,457,False,False,False,True,False,False,False,False
30670.0,3000,145,47.1,2.0,6,140,False,True,False,False,False,False,False,True
13690.0,9850,0,65.7,1.0,8,2532,False,False,True,False,True,False,False,True
19800.0,44132,145,54.3,2.0,8,289,True,False,False,False,False,False,False,False
31600.0,7214,150,34.5,2.0,6,1009,False,False,False,False,True,False,False,True
20990.0,25013,145,57.6,2.0,8,420,True,False,False,False,True,False,False,False
24950.0,5800,145,47.9,2.0,6,917,False,False,True,True,False,False,False,False
20995.0,50,145,47.1,1.5,6,2532,False,False,True,True,False,False,False,True
53905.85000000006,152,145,27.2,4.0,6,1966,False,True,False,False,False,False,False,True
48890.0,650,145,36.7,2.0,6,101,False,True,False,False,True,False,False,False
16302.0,33686,125,58.9,2.0,8,917,False,False,True,True,False,False,False,False
19395.0,22767,145,72.4,2.0,8,1045,False,True,False,False,True,False,False,False
10199.0,18640,150,60.1,1.0,8,1701,False,False,True,True,False,False,False,True
23500.0,1155,145,45.6,1.0,5,157,False,False,True,False,False,False,False,True
22000.0,1728,145,45.6,1.0,5,157,False,False,True,False,False,False,False,True
22480.0,2576,145,45.6,1.5,5,486,False,False,True,True,False,False,False,True
14495.0,15417,150,52.3,1.0,6,1701,False,False,True,True,False,False,False,True
25780.0,15107,145,72.4,2.0,6,1045,False,True,False,False,True,False,False,False
44082.0,6580,145,34.0,3.0,6,182,False,False,True,False,True,False,False,False
19985.0,1659,145,55.4,1.6,6,135,False,False,True,True,False,False,False,False
21790.0,20837,150,61.4,2.0,7,1045,False,True,False,False,True,False,False,False
25290.0,4987,145,37.7,2.0,6,2532,False,False,True,False,False,False,False,True
15840.0,33700,125,60.1,2.0,9,569,True,False,False,True,False,False,False,False
25890.0,2981,145,56.5,2.0,6,1372,False,True,False,False,False,False,False,False
13005.0,48782,20,68.9,1.6,9,1009,False,False,False,False,True,False,False,False
17000.0,29947,30,61.4,2.1,9,1966,False,True,False,False,False,False,False,False
13799.0,21813,145,54.3,1.4,8,2532,False,False,True,True,False,False,False,True
21495.0,12989,150,57.7,2.0,7,2532,False,False,True,False,False,False,False,False
38990.0,10638,145,34.0,3.0,7,497,False,True,False,False,True,False,False,True
23990.0,40010,150,49.6,3.0,8,1323,True,False,False,False,True,False,False,False
21940.0,53519,135,156.9,2.0,7,569,True,False,False,False,False,False,True,False
14992.0,40251,20,62.8,2.1,10,461,False,True,False,False,True,False,False,False
28874.0,5000,145,58.9,2.0,6,143,True,False,False,False,True,False,False,False
51495.0,5000,145,34.5,3.0,5,478,False,False,False,False,True,False,False,False
20398.0,8901,145,56.5,2.0,6,1372,False,True,False,False,False,False,False,False
26995.0,4914,150,44.8,2.0,6,734,False,False,False,False,True,False,False,False
31490.0,4503,150,54.3,2.0,6,1323,True,False,False,True,False,False,False,False
13295.0,17466,145,58.9,1.0,7,2532,False,False,True,True,False,False,False,True
52999.0,1000,145,36.2,2.0,5,101,False,True,False,False,True,False,False,False
31400.0,100,145,64.2,2.0,6,1966,False,True,False,False,True,False,False,False
14490.0,50000,30,62.8,2.0,9,569,True,False,False,False,False,False,False,False
34000.0,1000,145,38.2,2.0,6,478,False,False,False,False,False,False,False,False
11950.0,41674,150,54.3,1.4,8,2532,False,False,True,True,False,False,False,True
7995.0,19809,20,64.2,1.0,8,447,False,False,True,True,False,False,False,True
17650.0,35000,125,56.5,2.1,9,461,False,True,False,False,True,False,False,False
21699.0,34026,145,58.9,2.0,8,382,False,False,False,False,False,False,False,False
51450.0,18988,145,39.2,4.0,7,217,False,False,False,False,False,False,False,False
15489.0,37026,145,49.6,1.8,10,457,False,False,False,True,False,False,False,True
29995.0,2000,135,141.3,1.4,5,2532,False,False,True,False,True,True,False,False
22999.0,57716,235,43.5,3.0,9,382,False,False,False,False,False,False,False,False
24899.0,13474,145,72.4,2.0,6,1045,False,True,False,False,True,False,False,False
19480.0,152,145,42.8,1.5,6,668,True,False,False,True,False,False,False,True
24999.0,5448,145,60.1,2.1,6,1966,False,True,False,False,False,False,False,False
11999.0,24587,0,65.7,1.0,9,2532,False,False,True,False,True,False,False,True
15495.0,37129,20,68.9,2.1,9,1372,False,True,False,False,True,False,False,False
10990.0,45743,30,56.5,1.4,10,2532,False,False,True,False,True,False,False,True
14695.0,13555,30,55.4,1.4,8,709,False,False,False,True,False,False,False,True
32495.0,7499,145,44.1,1.5,6,1966,False,True,False,False,True,False,False,True
26491.0,3378,145,55.4,2.0,5,313,False,True,False,False,True,False,False,False
35995.0,5904,145,30.4,2.0,6,289,True,False,False,False,True,False,False,True
13500.0,29226,30,62.8,2.0,9,1028,True,False,False,True,False,False,False,False
22290.0,19462,145,56.5,3.0,8,1323,True,False,False,False,True,False,False,False
25995.0,1500,145,48.7,2.0,6,486,False,False,True,False,False,False,False,False
16750.0,41656,30,61.4,2.0,9,1009,False,False,False,False,False,False,False,False
22995.0,3405,145,49.6,2.0,6,384,False,False,True,False,True,False,False,False
27899.0,8273,145,56.5,2.0,6,1966,False,True,False,False,False,False,False,False
12500.0,26600,0,67.3,1.0,8,709,False,False,False,True,False,False,False,True
32500.0,2500,145,49.6,2.0,5,384,False,False,True,False,True,False,False,False
28990.0,29000,205,47.1,3.0,9,260,True,False,False,False,False,False,False,False
18995.0,18723,125,60.1,2.1,9,1045,False,True,False,False,True,False,False,False
23490.0,2245,145,28.5,1.3,6,1372,False,True,False,False,False,False,False,True
6990.0,24300,20,60.1,1.0,12,447,False,False,True,True,False,False,False,True
9800.0,36462,0,76.3,1.6,9,709,False,False,False,True,False,False,False,False
18300.0,38976,20,67.3,2.0,8,1045,False,True,False,False,False,False,False,False
